"visit_id` bigint NOT NULL auto_increment","content_id` bigint NOT NULL DEFAULT 0","actor_id` bigint NOT NULL DEFAULT 0","page_url` varchar(500) NOT NULL","page_domain` varchar(255) NOT NULL","page_path` varchar(500) NOT NULL","date_ymd` int NOT NULL","visits` int NOT NULL DEFAULT 0","depth` int NOT NULL DEFAULT 0","metadata_json` json","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL DEFAULT 0"
12,1,1,http://lupopedia.com/system_features.php,lupopedia.com,/system_features.php,20260104,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/system_features.php"", ""legacy_parentrec"": 1508, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
13,1,1,http://lupopedia.com/what_is_wolfie_headers.php,lupopedia.com,/what_is_wolfie_headers.php,20260104,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/what_is_wolfie_headers.php"", ""legacy_parentrec"": 1508, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
14,1,1,http://lupopedia.com/executive_summary.php,lupopedia.com,/executive_summary.php,20260104,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/executive_summary.php"", ""legacy_parentrec"": 1508, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
15,1,1,http://lupopedia.com/topics.php,lupopedia.com,/topics.php,20260104,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/topics.php"", ""legacy_parentrec"": 1508, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
16,1,1,http://lupopedia.com/privacy.php,lupopedia.com,/privacy.php,20260104,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/privacy.php"", ""legacy_parentrec"": 1508, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
17,1,1,http://lupopedia.com/support.php,lupopedia.com,/support.php,20260104,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/support.php"", ""legacy_parentrec"": 1508, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
18,1,1,http://lupopedia.com/directory.php,lupopedia.com,/directory.php,20260104,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/directory.php"", ""legacy_parentrec"": 1508, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
19,1,1,http://lupopedia.com/channels.php,lupopedia.com,/channels.php,20260104,4,2,"{""legacy_pageurl"": ""http://lupopedia.com/channels.php"", ""legacy_parentrec"": 1508, ""legacy_department"": 1, ""legacy_levelvisits"": 2, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 2}",0,0
20,1,1,http://lupopedia.com/events.php,lupopedia.com,/events.php,20260104,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/events.php"", ""legacy_parentrec"": 1508, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
21,1,1,http://lupopedia.com/agents.php,lupopedia.com,/agents.php,20260104,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/agents.php"", ""legacy_parentrec"": 1508, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
22,1,1,http://lupopedia.com/browse_collections.php,lupopedia.com,/browse_collections.php,20260104,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/browse_collections.php"", ""legacy_parentrec"": 1508, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
23,1,1,http://lupopedia.com/users.php,lupopedia.com,/users.php,20260104,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/users.php"", ""legacy_parentrec"": 1508, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
24,1,1,http://lupopedia.com/login.php,lupopedia.com,/login.php,20260104,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/login.php"", ""legacy_parentrec"": 1508, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
25,1,1,http://lupopedia.com,lupopedia.com,,20260105,42,1,"{""legacy_pageurl"": ""http://lupopedia.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 29, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 13}",0,0
26,1,1,http://lupopedia.com?utm_source=poweredby&utm_campaign=poweredby,lupopedia.com?utm_source=poweredby&utm_campaign=poweredby,,20260105,0,2,"{""legacy_pageurl"": ""http://lupopedia.com?utm_source=poweredby&utm_campaign=poweredby"", ""legacy_parentrec"": 1532, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}",0,0
27,1,1,http://lupopedia.com/wolfie_ladder?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMzUwNjg1NTMxNzI4AAEedih1BFGtRGYOTcsnKIj1idTucYEl_XhfUhT0jEgwbngbl3Wkz57sl1T0SUs_aem_0gN-07gAOLh9Qz-qOQSWKQ,lupopedia.com,/wolfie_ladder?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMzUwNjg1NTMxNzI4AAEedih1BFGtRGYOTcsnKIj1idTucYEl_XhfUhT0jEgwbngbl3Wkz57sl1T0SUs_aem_0gN-07gAOLh9Qz-qOQSWKQ,20260105,0,3,"{""legacy_pageurl"": ""http://lupopedia.com/wolfie_ladder?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMzUwNjg1NTMxNzI4AAEedih1BFGtRGYOTcsnKIj1idTucYEl_XhfUhT0jEgwbngbl3Wkz57sl1T0SUs_aem_0gN-07gAOLh9Qz-qOQSWKQ"", ""legacy_parentrec"": 1533, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}",0,0
28,1,1,http://lupopedia.com/support.php,lupopedia.com,/support.php,20260105,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/support.php"", ""legacy_parentrec"": 1532, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
29,1,1,http://lupopedia.com/craftysyntax,lupopedia.com,/craftysyntax,20260105,13,2,"{""legacy_pageurl"": ""http://lupopedia.com/craftysyntax"", ""legacy_parentrec"": 1532, ""legacy_department"": 1, ""legacy_levelvisits"": 7, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 6}",0,0
30,1,1,http://lupopedia.com/index.php,lupopedia.com,/index.php,20260105,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/index.php"", ""legacy_parentrec"": 1532, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
31,1,1,http://lupopedia.com/questions.php,lupopedia.com,/questions.php,20260105,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/questions.php"", ""legacy_parentrec"": 1532, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
32,1,1,http://lupopedia.com/wolfie_ladder?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMzUwNjg1NTMxNzI4AAEedih1BFGtRGYOTcsnKIj1idTucYEl_XhfUhT0jEgwbngbl3Wkz57sl1T0SUs_aem_0gN-07gAOLh9Qz-qOQSWKQ,lupopedia.com,/wolfie_ladder?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMzUwNjg1NTMxNzI4AAEedih1BFGtRGYOTcsnKIj1idTucYEl_XhfUhT0jEgwbngbl3Wkz57sl1T0SUs_aem_0gN-07gAOLh9Qz-qOQSWKQ,20260105,0,3,"{""legacy_pageurl"": ""http://lupopedia.com/wolfie_ladder?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMzUwNjg1NTMxNzI4AAEedih1BFGtRGYOTcsnKIj1idTucYEl_XhfUhT0jEgwbngbl3Wkz57sl1T0SUs_aem_0gN-07gAOLh9Qz-qOQSWKQ"", ""legacy_parentrec"": 1533, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}",0,0
33,1,1,http://collaborativepages.com,collaborativepages.com,,20260105,4,1,"{""legacy_pageurl"": ""http://collaborativepages.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 2, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 2}",0,0
34,1,1,http://lupopedia.com/what_are_wolfie_headers.php,lupopedia.com,/what_are_wolfie_headers.php,20260105,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/what_are_wolfie_headers.php"", ""legacy_parentrec"": 1532, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
35,1,1,http://lupopedia.com/agents.php,lupopedia.com,/agents.php,20260105,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/agents.php"", ""legacy_parentrec"": 1532, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
36,1,1,http://lupopedia.com/agent_profile.php,lupopedia.com,/agent_profile.php,20260105,4,2,"{""legacy_pageurl"": ""http://lupopedia.com/agent_profile.php"", ""legacy_parentrec"": 1532, ""legacy_department"": 1, ""legacy_levelvisits"": 2, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 2}",0,0
37,1,1,http://lupopedia.com/agent_profile.php?id=10,lupopedia.com,/agent_profile.php?id=10,20260105,0,3,"{""legacy_pageurl"": ""http://lupopedia.com/agent_profile.php?id=10"", ""legacy_parentrec"": 1543, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}",0,0
38,1,1,http://lupopedia.com/agent_profile.php?id=9,lupopedia.com,/agent_profile.php?id=9,20260105,0,3,"{""legacy_pageurl"": ""http://lupopedia.com/agent_profile.php?id=9"", ""legacy_parentrec"": 1543, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}",0,0
39,1,1,http://lupopedia.com/craftysyntax/#howto,lupopedia.com,/craftysyntax/#howto,20260105,2,3,"{""legacy_pageurl"": ""http://lupopedia.com/craftysyntax/#howto"", ""legacy_parentrec"": 1536, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
40,1,1,http://lupopedia.com,lupopedia.com,,20260106,53,1,"{""legacy_pageurl"": ""http://lupopedia.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 40, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 13}",0,0
41,1,1,http://lupopedia.com/craftysyntax,lupopedia.com,/craftysyntax,20260106,17,2,"{""legacy_pageurl"": ""http://lupopedia.com/craftysyntax"", ""legacy_parentrec"": 1547, ""legacy_department"": 1, ""legacy_levelvisits"": 11, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 6}",0,0
42,1,1,http://lupopedia.com?utm_source=poweredby&utm_campaign=poweredby,lupopedia.com?utm_source=poweredby&utm_campaign=poweredby,,20260106,0,2,"{""legacy_pageurl"": ""http://lupopedia.com?utm_source=poweredby&utm_campaign=poweredby"", ""legacy_parentrec"": 1547, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}",0,0
43,1,1,http://lupopedia.com/craftysyntax/#download,lupopedia.com,/craftysyntax/#download,20260106,2,3,"{""legacy_pageurl"": ""http://lupopedia.com/craftysyntax/#download"", ""legacy_parentrec"": 1548, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
44,1,1,http://collaborativepages.com,collaborativepages.com,,20260106,2,1,"{""legacy_pageurl"": ""http://collaborativepages.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
45,1,1,http://lupopedia.com/agents.php,lupopedia.com,/agents.php,20260106,8,2,"{""legacy_pageurl"": ""http://lupopedia.com/agents.php"", ""legacy_parentrec"": 1547, ""legacy_department"": 1, ""legacy_levelvisits"": 4, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 4}",0,0
46,1,1,http://lupopedia.com/search.php,lupopedia.com,/search.php,20260106,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/search.php"", ""legacy_parentrec"": 1547, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
47,1,1,http://lupopedia.com/users.php,lupopedia.com,/users.php,20260106,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/users.php"", ""legacy_parentrec"": 1547, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
48,1,1,http://lupopedia.com/index.php,lupopedia.com,/index.php,20260106,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/index.php"", ""legacy_parentrec"": 1547, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
49,1,1,http://lupopedia.com/craftysyntax/#news,lupopedia.com,/craftysyntax/#news,20260106,2,3,"{""legacy_pageurl"": ""http://lupopedia.com/craftysyntax/#news"", ""legacy_parentrec"": 1548, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
50,1,1,http://lupopedia.com/agent_profile.php,lupopedia.com,/agent_profile.php,20260106,14,2,"{""legacy_pageurl"": ""http://lupopedia.com/agent_profile.php"", ""legacy_parentrec"": 1547, ""legacy_department"": 1, ""legacy_levelvisits"": 7, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 7}",0,0
51,1,1,http://lupopedia.com/agent_profile.php?id=10,lupopedia.com,/agent_profile.php?id=10,20260106,0,3,"{""legacy_pageurl"": ""http://lupopedia.com/agent_profile.php?id=10"", ""legacy_parentrec"": 1557, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}",0,0
52,1,1,http://lupopedia.com/craftysyntax/lupopedia.php,lupopedia.com,/craftysyntax/lupopedia.php,20260106,2,3,"{""legacy_pageurl"": ""http://lupopedia.com/craftysyntax/lupopedia.php"", ""legacy_parentrec"": 1548, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
53,1,1,http://lupopedia.com/support.php,lupopedia.com,/support.php,20260106,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/support.php"", ""legacy_parentrec"": 1547, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
54,1,1,http://lupopedia.com/questions.php,lupopedia.com,/questions.php,20260106,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/questions.php"", ""legacy_parentrec"": 1547, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
55,1,1,http://lupopedia.com/craftysyntax/planfor_next_version_craftysyntax.php,lupopedia.com,/craftysyntax/planfor_next_version_craftysyntax.php,20260106,2,3,"{""legacy_pageurl"": ""http://lupopedia.com/craftysyntax/planfor_next_version_craftysyntax.php"", ""legacy_parentrec"": 1548, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
56,1,1,http://lupopedia.com/agent_profile.php?id=9,lupopedia.com,/agent_profile.php?id=9,20260106,0,3,"{""legacy_pageurl"": ""http://lupopedia.com/agent_profile.php?id=9"", ""legacy_parentrec"": 1557, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}",0,0
57,1,1,http://lupopedia.com/agent_profile.php?id=10,lupopedia.com,/agent_profile.php?id=10,20260106,0,3,"{""legacy_pageurl"": ""http://lupopedia.com/agent_profile.php?id=10"", ""legacy_parentrec"": 1557, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}",0,0
58,1,1,http://lupopedia.com/agent_profile.php?id=57,lupopedia.com,/agent_profile.php?id=57,20260106,0,3,"{""legacy_pageurl"": ""http://lupopedia.com/agent_profile.php?id=57"", ""legacy_parentrec"": 1557, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}",0,0
59,1,1,http://lupopedia.com/agent_profile.php?id=3,lupopedia.com,/agent_profile.php?id=3,20260106,0,3,"{""legacy_pageurl"": ""http://lupopedia.com/agent_profile.php?id=3"", ""legacy_parentrec"": 1557, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}",0,0
60,1,1,http://lupopedia.com/craftysyntax/craftysyntax_changelog.php,lupopedia.com,/craftysyntax/craftysyntax_changelog.php,20260106,2,3,"{""legacy_pageurl"": ""http://lupopedia.com/craftysyntax/craftysyntax_changelog.php"", ""legacy_parentrec"": 1548, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
61,1,1,http://collaborativepages.com,collaborativepages.com,,20260107,2,1,"{""legacy_pageurl"": ""http://collaborativepages.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
62,1,1,http://lupopedia.com,lupopedia.com,,20260107,1,1,"{""legacy_pageurl"": ""http://lupopedia.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}",0,0
63,1,1,http://lupopedia.com/craftysyntax,lupopedia.com,/craftysyntax,20260107,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/craftysyntax"", ""legacy_parentrec"": 1569, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
64,1,1,http://collaborativepages.com,collaborativepages.com,,20260108,7,1,"{""legacy_pageurl"": ""http://collaborativepages.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 4, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 3}",0,0
65,1,1,http://lupopedia.com,lupopedia.com,,20260108,21,1,"{""legacy_pageurl"": ""http://lupopedia.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 18, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 3}",0,0
66,1,1,http://lupopedia.com/agents.php,lupopedia.com,/agents.php,20260108,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/agents.php"", ""legacy_parentrec"": 1572, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
67,1,1,http://lupopedia.com/agent_profile.php,lupopedia.com,/agent_profile.php,20260108,16,2,"{""legacy_pageurl"": ""http://lupopedia.com/agent_profile.php"", ""legacy_parentrec"": 1572, ""legacy_department"": 1, ""legacy_levelvisits"": 8, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 8}",0,0
68,1,1,http://lupopedia.com/agent_profile.php?id=82,lupopedia.com,/agent_profile.php?id=82,20260108,0,3,"{""legacy_pageurl"": ""http://lupopedia.com/agent_profile.php?id=82"", ""legacy_parentrec"": 1574, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}",0,0
69,1,1,http://lupopedia.com/agent_profile.php?id=2,lupopedia.com,/agent_profile.php?id=2,20260108,0,3,"{""legacy_pageurl"": ""http://lupopedia.com/agent_profile.php?id=2"", ""legacy_parentrec"": 1574, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}",0,0
70,1,1,http://lupopedia.com/agent_profile.php?id=78,lupopedia.com,/agent_profile.php?id=78,20260108,0,3,"{""legacy_pageurl"": ""http://lupopedia.com/agent_profile.php?id=78"", ""legacy_parentrec"": 1574, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}",0,0
71,1,1,http://lupopedia.com/agent_profile.php?id=94,lupopedia.com,/agent_profile.php?id=94,20260108,0,3,"{""legacy_pageurl"": ""http://lupopedia.com/agent_profile.php?id=94"", ""legacy_parentrec"": 1574, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}",0,0
72,1,1,http://lupopedia.com/agent_profile.php?id=57,lupopedia.com,/agent_profile.php?id=57,20260108,0,3,"{""legacy_pageurl"": ""http://lupopedia.com/agent_profile.php?id=57"", ""legacy_parentrec"": 1574, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}",0,0
73,1,1,http://lupopedia.com/craftysyntax,lupopedia.com,/craftysyntax,20260108,9,2,"{""legacy_pageurl"": ""http://lupopedia.com/craftysyntax"", ""legacy_parentrec"": 1572, ""legacy_department"": 1, ""legacy_levelvisits"": 5, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 4}",0,0
74,1,1,http://lupopedia.com/craftysyntax/#challenge,lupopedia.com,/craftysyntax/#challenge,20260108,2,3,"{""legacy_pageurl"": ""http://lupopedia.com/craftysyntax/#challenge"", ""legacy_parentrec"": 1580, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}",0,0
