word_registry_id,word,hex_color,field_type,iso_language,created_ymdhis,updated_ymdhis,source_table,usage_count,actor_hex
141,darkviolet,9400D3,node,EN,0,0,seed,0,808080
142,deeppink,FF1493,node,EN,0,0,seed,0,808080
143,deepskyblue,00BFFF,node,EN,0,0,seed,0,808080
144,dimgray,696969,node,EN,0,0,seed,0,808080
145,dodgerblue,1E90FF,node,EN,0,0,seed,0,808080
146,firebrick,B22222,node,EN,0,0,seed,0,808080
147,floralwhite,FFFAF0,node,EN,0,0,seed,0,808080
148,forestgreen,228B22,node,EN,0,0,seed,0,808080
149,fuchsia,FF00FF,node,EN,0,0,seed,0,808080
150,gainsboro,DCDCDC,node,EN,0,0,seed,0,808080
151,ghostwhite,F8F8FF,node,EN,0,0,seed,0,808080
152,gold,FFD700,node,EN,0,0,seed,0,808080
153,goldenrod,DAA520,node,EN,0,0,seed,0,808080
154,gray,808080,node,EN,0,0,seed,0,808080
155,green,008000,node,EN,0,0,seed,0,808080
156,greenyellow,ADFF2F,node,EN,0,0,seed,0,808080
157,honeydew,F0FFF0,node,EN,0,0,seed,0,808080
158,hotpink,FF69B4,node,EN,0,0,seed,0,808080
159,indianred,CD5C5C,node,EN,0,0,seed,0,808080
160,indigo,4B0082,node,EN,0,0,seed,0,808080
161,ivory,FFFFF0,node,EN,0,0,seed,0,808080
162,khaki,F0E68C,node,EN,0,0,seed,0,808080
163,lavender,E6E6FA,node,EN,0,0,seed,0,808080
164,lavenderblush,FFF0F5,node,EN,0,0,seed,0,808080
165,lawngreen,7CFC00,node,EN,0,0,seed,0,808080
166,lemonchiffon,FFFACD,node,EN,0,0,seed,0,808080
167,lightblue,ADD8E6,node,EN,0,0,seed,0,808080
168,lightcoral,F08080,node,EN,0,0,seed,0,808080
169,lightcyan,E0FFFF,node,EN,0,0,seed,0,808080
170,lightgoldenrodyellow,FAFAD2,node,EN,0,0,seed,0,808080
171,lightgray,D3D3D3,node,EN,0,0,seed,0,808080
172,lightgreen,90EE90,node,EN,0,0,seed,0,808080
173,lightpink,FFB6C1,node,EN,0,0,seed,0,808080
174,lightsalmon,FFA07A,node,EN,0,0,seed,0,808080
175,lightseagreen,20B2AA,node,EN,0,0,seed,0,808080
176,lightskyblue,87CEFA,node,EN,0,0,seed,0,808080
177,lightslategray,778899,node,EN,0,0,seed,0,808080
178,lightsteelblue,B0C4DE,node,EN,0,0,seed,0,808080
179,lightyellow,FFFFE0,node,EN,0,0,seed,0,808080
180,lime,00FF00,node,EN,0,0,seed,0,808080
181,limegreen,32CD32,node,EN,0,0,seed,0,808080
182,linen,FAF0E6,node,EN,0,0,seed,0,808080
183,magenta,FF00FF,node,EN,0,0,seed,0,808080
184,maroon,800000,node,EN,0,0,seed,0,808080
185,mediumaquamarine,66CDAA,node,EN,0,0,seed,0,808080
186,mediumblue,0000CD,node,EN,0,0,seed,0,808080
187,mediumorchid,BA55D3,node,EN,0,0,seed,0,808080
188,mediumpurple,9370DB,node,EN,0,0,seed,0,808080
189,mediumseagreen,3CB371,node,EN,0,0,seed,0,808080
190,mediumslateblue,7B68EE,node,EN,0,0,seed,0,808080
191,mediumspringgreen,00FA9A,node,EN,0,0,seed,0,808080
192,mediumturquoise,48D1CC,node,EN,0,0,seed,0,808080
193,mediumvioletred,C71585,node,EN,0,0,seed,0,808080
194,midnightblue,191970,node,EN,0,0,seed,0,808080
195,mintcream,F5FFFA,node,EN,0,0,seed,0,808080
196,mistyrose,FFE4E1,node,EN,0,0,seed,0,808080
197,moccasin,FFE4B5,node,EN,0,0,seed,0,808080
198,navajowhite,FFDEAD,node,EN,0,0,seed,0,808080
199,navy,000080,node,EN,0,0,seed,0,808080
200,oldlace,FDF5E6,node,EN,0,0,seed,0,808080
201,olive,808000,node,EN,0,0,seed,0,808080
202,olivedrab,6B8E23,node,EN,0,0,seed,0,808080
203,orange,FFA500,node,EN,0,0,seed,0,808080
204,orangered,FF4500,node,EN,0,0,seed,0,808080
205,orchid,DA70D6,node,EN,0,0,seed,0,808080
206,palegoldenrod,EEE8AA,node,EN,0,0,seed,0,808080
207,palegreen,98FB98,node,EN,0,0,seed,0,808080
208,paleturquoise,AFEEEE,node,EN,0,0,seed,0,808080
209,palevioletred,DB7093,node,EN,0,0,seed,0,808080
210,papayawhip,FFEFD5,node,EN,0,0,seed,0,808080
211,peachpuff,FFDAB9,node,EN,0,0,seed,0,808080
212,peru,CD853F,node,EN,0,0,seed,0,808080
213,pink,FFC0CB,node,EN,0,0,seed,0,808080
214,plum,DDA0DD,node,EN,0,0,seed,0,808080
215,powderblue,B0E0E6,node,EN,0,0,seed,0,808080
216,purple,800080,node,EN,0,0,seed,0,808080
217,rebeccapurple,663399,node,EN,0,0,seed,0,808080
218,red,FF0000,node,EN,0,0,seed,0,808080
219,rosybrown,BC8F8F,node,EN,0,0,seed,0,808080
220,royalblue,4169E1,node,EN,0,0,seed,0,808080
221,saddlebrown,8B4513,node,EN,0,0,seed,0,808080
222,salmon,FA8072,node,EN,0,0,seed,0,808080
223,sandybrown,F4A460,node,EN,0,0,seed,0,808080
224,seagreen,2E8B57,node,EN,0,0,seed,0,808080
225,seashell,FFF5EE,node,EN,0,0,seed,0,808080
226,sienna,A0522D,node,EN,0,0,seed,0,808080
227,silver,C0C0C0,node,EN,0,0,seed,0,808080
228,skyblue,87CEEB,node,EN,0,0,seed,0,808080
229,slateblue,6A5ACD,node,EN,0,0,seed,0,808080
230,slategray,708090,node,EN,0,0,seed,0,808080
231,snow,FFFAFA,node,EN,0,0,seed,0,808080
232,springgreen,00FF7F,node,EN,0,0,seed,0,808080
233,steelblue,4682B4,node,EN,0,0,seed,0,808080
234,tan,D2B48C,node,EN,0,0,seed,0,808080
235,teal,008080,node,EN,0,0,seed,0,808080
236,thistle,D8BFD8,node,EN,0,0,seed,0,808080
237,tomato,FF6347,node,EN,0,0,seed,0,808080
238,turquoise,40E0D0,node,EN,0,0,seed,0,808080
239,violet,EE82EE,node,EN,0,0,seed,0,808080
240,wheat,F5DEB3,node,EN,0,0,seed,0,808080
241,white,FFFFFF,node,EN,0,0,seed,0,808080
242,whitesmoke,F5F5F5,node,EN,0,0,seed,0,808080
243,yellowgreen,9ACD32,node,EN,0,0,seed,0,808080
