"audit_log_id` bigint NOT NULL","channel_id` bigint NOT NULL","entity_type` varchar(32) NOT NULL","entity_id` bigint NOT NULL","event_type` varchar(100) NOT NULL","table_name` varchar(100)","table_id` bigint","payload_json` text","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint"
37,0,actor,10001,Logout,,,"{""sessionid"": ""25bbae13826ab367f2d95fed9b965d3a"", ""totaltime"": 6070}",20251111012703,20251111012703,0,
38,0,actor,10001,login,,,"{""sessionid"": ""94287cdd0bfa2fc18bdb97492a1a5d44"", ""totaltime"": 0}",20251111023121,20251111023121,0,
39,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""94287cdd0bfa2fc18bdb97492a1a5d44"", ""totaltime"": 0}",20251111024131,20251111024131,0,
40,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""94287cdd0bfa2fc18bdb97492a1a5d44"", ""totaltime"": 0}",20251111024131,20251111024131,0,
41,0,actor,10001,Logout,,,"{""sessionid"": ""0dfcd160680b5269b5604351b36b1d04"", ""totaltime"": 2145}",20251111030706,20251111030706,0,
42,0,actor,10001,login,,,"{""sessionid"": ""1146599770eebef3786d3e0baaad766d"", ""totaltime"": 0}",20251111074323,20251111074323,0,
43,0,actor,10001,Logout,,,"{""sessionid"": ""761a35ce862ec01b0c0942eeea0919cb"", ""totaltime"": 4247}",20251111085410,20251111085410,0,
44,0,actor,10001,login,,,"{""sessionid"": ""073c1743fff35e0811c41f4c1d257733"", ""totaltime"": 0}",20251111145006,20251111145006,0,
45,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""073c1743fff35e0811c41f4c1d257733"", ""totaltime"": 0}",20251111151017,20251111151017,0,
46,11,actor,10001,startchat,,,"{""sessionid"": """", ""totaltime"": 0}",20251111151223,20251111151223,0,
47,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""073c1743fff35e0811c41f4c1d257733"", ""totaltime"": 1054}",20251111152751,20251111152751,0,
48,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""073c1743fff35e0811c41f4c1d257733"", ""totaltime"": 0}",20251111154259,20251111154259,0,
49,0,actor,10001,Stopchat,lupo_dialog_threads,6,"{""sessionid"": """", ""totaltime"": 0}",20251111154305,20251111154305,0,
50,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""073c1743fff35e0811c41f4c1d257733"", ""totaltime"": 6012}",20251111172311,20251111172311,0,
51,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""073c1743fff35e0811c41f4c1d257733"", ""totaltime"": 0}",20251111175543,20251111175543,0,
52,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""073c1743fff35e0811c41f4c1d257733"", ""totaltime"": 4636}",20251111191259,20251111191259,0,
53,0,actor,10001,Logout,,,"{""sessionid"": ""699c88140d1e9527fb3d7569ab73ee9b"", ""totaltime"": 20460}",20251111203106,20251111203106,0,
54,0,actor,10001,login,,,"{""sessionid"": ""03593aa4290b4b768d6124d7ca017666"", ""totaltime"": 0}",20251112042455,20251112042455,0,
55,0,actor,10001,Logout,,,"{""sessionid"": ""d540e66049b8fd068d77d5daff54c3a7"", ""totaltime"": 1604}",20251112045139,20251112045139,0,
56,0,actor,10001,login,,,"{""sessionid"": ""03593aa4290b4b768d6124d7ca017666"", ""totaltime"": 0}",20251112054325,20251112054325,0,
57,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""03593aa4290b4b768d6124d7ca017666"", ""totaltime"": 0}",20251112065040,20251112065040,0,
58,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""03593aa4290b4b768d6124d7ca017666"", ""totaltime"": 0}",20251112065040,20251112065040,0,
59,0,actor,10001,Logout,,,"{""sessionid"": ""d540e66049b8fd068d77d5daff54c3a7"", ""totaltime"": 5592}",20251112071637,20251112071637,0,
60,0,actor,10001,login,,,"{""sessionid"": ""03593aa4290b4b768d6124d7ca017666"", ""totaltime"": 0}",20251112073115,20251112073115,0,
61,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""03593aa4290b4b768d6124d7ca017666"", ""totaltime"": 0}",20251112074228,20251112074228,0,
62,0,actor,10001,Logout,,,"{""sessionid"": ""0a42edba9f6e9c226c3f78c778a22c46"", ""totaltime"": 5842}",20251112090837,20251112090837,0,
63,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""03593aa4290b4b768d6124d7ca017666"", ""totaltime"": 0}",20251112074228,20251112074228,0,
64,0,actor,10001,login,,,"{""sessionid"": ""4a1012b9d39951b910efbb3e67519f0e"", ""totaltime"": 0}",20251112113254,20251112113254,0,
65,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""4a1012b9d39951b910efbb3e67519f0e"", ""totaltime"": 0}",20251112113344,20251112113344,0,
66,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""4a1012b9d39951b910efbb3e67519f0e"", ""totaltime"": 16}",20251112113400,20251112113400,0,
67,0,actor,10001,Logout,,,"{""sessionid"": ""d540e66049b8fd068d77d5daff54c3a7"", ""totaltime"": 1971}",20251112120545,20251112120545,0,
68,0,actor,10001,login,,,"{""sessionid"": ""4a1012b9d39951b910efbb3e67519f0e"", ""totaltime"": 0}",20251112122245,20251112122245,0,
69,0,actor,10001,Logout,,,"{""sessionid"": ""301949985f023d764e8c58b6ec5eba14"", ""totaltime"": 4836}",20251112134321,20251112134321,0,
70,0,actor,10001,login,,,"{""sessionid"": ""a42cd2f8012c7177c8a69342164ed158"", ""totaltime"": 0}",20251112165047,20251112165047,0,
71,0,actor,10001,login,,,"{""sessionid"": ""ef9a19cb1a4b2e072785e8d0491062c6"", ""totaltime"": 0}",20251112172425,20251112172425,0,
72,0,actor,10001,Logout,,,"{""sessionid"": ""b8c222865182e65cde0b7999e2b27e75"", ""totaltime"": 1530}",20251112174955,20251112174955,0,
73,0,actor,10001,login,,,"{""sessionid"": ""919fc613207e89377dc170e8c7466c1a"", ""totaltime"": 0}",20251112180006,20251112180006,0,
74,0,actor,10001,login,,,"{""sessionid"": ""ef9a19cb1a4b2e072785e8d0491062c6"", ""totaltime"": 0}",20251112180436,20251112180436,0,
75,0,actor,10001,Logout,,,"{""sessionid"": ""79e3a7da2843e9eaf02cf067ec5f3354"", ""totaltime"": 2260}",20251112184216,20251112184216,0,
76,0,actor,10001,login,,,"{""sessionid"": ""ef9a19cb1a4b2e072785e8d0491062c6"", ""totaltime"": 0}",20251112184318,20251112184318,0,
77,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""ef9a19cb1a4b2e072785e8d0491062c6"", ""totaltime"": 0}",20251112185603,20251112185603,0,
78,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""ef9a19cb1a4b2e072785e8d0491062c6"", ""totaltime"": 3905}",20251112200108,20251112200108,0,
79,0,actor,10001,Logout,,,"{""sessionid"": ""acba2d198176d09099556c47017c76de"", ""totaltime"": 10025}",20251112213023,20251112213023,0,
80,0,actor,10001,login,,,"{""sessionid"": ""ef9a19cb1a4b2e072785e8d0491062c6"", ""totaltime"": 0}",20251113000345,20251113000345,0,
81,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""ef9a19cb1a4b2e072785e8d0491062c6"", ""totaltime"": 0}",20251113003405,20251113003405,0,
82,0,actor,10001,login,,,"{""sessionid"": ""99676d990ed9a875d38e7748607913b9"", ""totaltime"": 0}",20251113005219,20251113005219,0,
83,26,actor,10001,startchat,,,"{""sessionid"": """", ""totaltime"": 0}",20251113005225,20251113005225,0,
84,0,actor,10001,Logout,,,"{""sessionid"": ""99676d990ed9a875d38e7748607913b9"", ""totaltime"": 10}",20251113005229,20251113005229,0,
85,0,actor,10001,login,,,"{""sessionid"": ""ef9a19cb1a4b2e072785e8d0491062c6"", ""totaltime"": 0}",20251113010459,20251113010459,0,
86,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""ef9a19cb1a4b2e072785e8d0491062c6"", ""totaltime"": 1102}",20251113005227,20251113005227,0,
87,0,actor,10001,Logout,,,"{""sessionid"": ""79e3a7da2843e9eaf02cf067ec5f3354"", ""totaltime"": 3488}",20251113020307,20251113020307,0,
88,0,actor,10001,login,,,"{""sessionid"": ""ef9a19cb1a4b2e072785e8d0491062c6"", ""totaltime"": 0}",20251113021512,20251113021512,0,
89,0,actor,10001,login,,,"{""sessionid"": ""ce87e4aea6a2c901c5012912be452c8b"", ""totaltime"": 0}",20251113022626,20251113022626,0,
90,0,actor,10001,login,,,"{""sessionid"": ""ef9a19cb1a4b2e072785e8d0491062c6"", ""totaltime"": 0}",20251113022809,20251113022809,0,
91,0,actor,10001,Logout,,,"{""sessionid"": ""ef9a19cb1a4b2e072785e8d0491062c6"", ""totaltime"": 4073}",20251113033602,20251113033602,0,
92,0,actor,10001,login,,,"{""sessionid"": ""495b921a452fe5f55c94f9be4fac0b92"", ""totaltime"": 0}",20251113150226,20251113150226,0,
93,0,actor,10001,Logout,,,"{""sessionid"": ""e346e008d402bf919d07d4f8ede75937"", ""totaltime"": 1751}",20251113153137,20251113153137,0,
94,0,actor,10001,login,,,"{""sessionid"": ""9506523553642216fe57e6f0cde57723"", ""totaltime"": 0}",20251113165916,20251113165916,0,
95,0,actor,10001,Logout,,,"{""sessionid"": ""e346e008d402bf919d07d4f8ede75937"", ""totaltime"": 3754}",20251113180150,20251113180150,0,
96,0,actor,10001,login,,,"{""sessionid"": ""495b921a452fe5f55c94f9be4fac0b92"", ""totaltime"": 0}",20251113180224,20251113180224,0,
97,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""495b921a452fe5f55c94f9be4fac0b92"", ""totaltime"": 0}",20251113180229,20251113180229,0,
98,0,actor,10001,Logout,,,"{""sessionid"": ""495b921a452fe5f55c94f9be4fac0b92"", ""totaltime"": 20}",20251113180244,20251113180244,0,
99,0,actor,10001,login,,,"{""sessionid"": ""495b921a452fe5f55c94f9be4fac0b92"", ""totaltime"": 0}",20251113180710,20251113180710,0,
100,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""495b921a452fe5f55c94f9be4fac0b92"", ""totaltime"": 0}",20251113180229,20251113180229,0,
101,0,actor,10001,Logout,,,"{""sessionid"": ""23b6658952422448625b2d8521f6c209"", ""totaltime"": 1739}",20251113183609,20251113183609,0,
102,0,actor,10001,login,,,"{""sessionid"": ""f6cbe529cbe7c4a76537c66fceb5e917"", ""totaltime"": 0}",20251113221204,20251113221204,0,
103,0,actor,10001,login,,,"{""sessionid"": ""98ae860edc0aeb8dcd63e2e84f2dadc7"", ""totaltime"": 0}",20251113223627,20251113223627,0,
104,0,actor,10001,login,,,"{""sessionid"": ""f6cbe529cbe7c4a76537c66fceb5e917"", ""totaltime"": 0}",20251113224229,20251113224229,0,
105,0,actor,10001,Logout,,,"{""sessionid"": ""a721f0726aaccea6dd7f2184767b1564"", ""totaltime"": 4572}",20251113235841,20251113235841,0,
106,0,actor,10001,login,,,"{""sessionid"": ""f6cbe529cbe7c4a76537c66fceb5e917"", ""totaltime"": 0}",20251114010610,20251114010610,0,
107,0,actor,10001,Logout,,,"{""sessionid"": ""a853ebfdfb5ad78c4f541b72dea46bd4"", ""totaltime"": 1727}",20251114013457,20251114013457,0,
108,0,actor,10001,login,,,"{""sessionid"": ""f6cbe529cbe7c4a76537c66fceb5e917"", ""totaltime"": 0}",20251114035736,20251114035736,0,
109,0,actor,10001,Logout,,,"{""sessionid"": ""a721f0726aaccea6dd7f2184767b1564"", ""totaltime"": 1595}",20251114042411,20251114042411,0,
110,0,actor,10001,login,,,"{""sessionid"": ""98ae860edc0aeb8dcd63e2e84f2dadc7"", ""totaltime"": 0}",20251114045304,20251114045304,0,
111,0,actor,10001,Logout,,,"{""sessionid"": ""a721f0726aaccea6dd7f2184767b1564"", ""totaltime"": 1624}",20251114052008,20251114052008,0,
112,0,actor,10001,login,,,"{""sessionid"": ""f6cbe529cbe7c4a76537c66fceb5e917"", ""totaltime"": 0}",20251114052456,20251114052456,0,
113,0,actor,10001,Logout,,,"{""sessionid"": ""01659e944030653e1f1bbdc2517a5472"", ""totaltime"": 2133}",20251114060029,20251114060029,0,
114,0,actor,10001,login,,,"{""sessionid"": ""96c5db01b08ae4e76896b5a517b06bc2"", ""totaltime"": 0}",20251114060814,20251114060814,0,
115,0,actor,10001,Logout,,,"{""sessionid"": ""c123a5447cb00eaa791890633ec77986"", ""totaltime"": 10236}",20251114085850,20251114085850,0,
116,0,actor,10001,login,,,"{""sessionid"": ""96c5db01b08ae4e76896b5a517b06bc2"", ""totaltime"": 0}",20251114090026,20251114090026,0,
117,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""96c5db01b08ae4e76896b5a517b06bc2"", ""totaltime"": 0}",20251114090046,20251114090046,0,
118,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""96c5db01b08ae4e76896b5a517b06bc2"", ""totaltime"": 100}",20251114090226,20251114090226,0,
119,0,actor,10001,Logout,,,"{""sessionid"": ""96c5db01b08ae4e76896b5a517b06bc2"", ""totaltime"": 2458}",20251114094124,20251114094124,0,
120,0,actor,10001,login,,,"{""sessionid"": ""16c11c6bb825a543b8ba3f58531f87e2"", ""totaltime"": 0}",20251114232709,20251114232709,0,
121,0,actor,10001,login,,,"{""sessionid"": ""029a392de2554c10202aba3383558ad5"", ""totaltime"": 0}",20251114233249,20251114233249,0,
122,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""029a392de2554c10202aba3383558ad5"", ""totaltime"": 0}",20251114233253,20251114233253,0,
123,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""029a392de2554c10202aba3383558ad5"", ""totaltime"": 0}",20251114233253,20251114233253,0,
124,0,actor,10001,Logout,,,"{""sessionid"": ""f029cd0380e9bf3818cc2cc83eb35541"", ""totaltime"": 2147}",20251115000836,20251115000836,0,
125,0,actor,10001,login,,,"{""sessionid"": ""16c11c6bb825a543b8ba3f58531f87e2"", ""totaltime"": 0}",20251115012053,20251115012053,0,
126,0,actor,10001,Logout,,,"{""sessionid"": ""16c11c6bb825a543b8ba3f58531f87e2"", ""totaltime"": 10}",20251115012103,20251115012103,0,
127,0,actor,10001,login,,,"{""sessionid"": ""029a392de2554c10202aba3383558ad5"", ""totaltime"": 0}",20251115030718,20251115030718,0,
128,0,actor,10001,Logout,,,"{""sessionid"": ""54c908b090e63f28e655dfec940d9004"", ""totaltime"": 14854}",20251115071452,20251115071452,0,
129,0,actor,10001,login,,,"{""sessionid"": ""43c325dadcf896660454c88404d745f6"", ""totaltime"": 0}",20251115162003,20251115162003,0,
130,0,actor,10001,Logout,,,"{""sessionid"": ""2a7c4e01762e21f60ea6350684529ba0"", ""totaltime"": 1694}",20251115164817,20251115164817,0,
131,0,actor,10001,login,,,"{""sessionid"": ""43c325dadcf896660454c88404d745f6"", ""totaltime"": 0}",20251115174647,20251115174647,0,
132,0,actor,10001,Logout,,,"{""sessionid"": ""e83e6936ac9dc7e72320147ace00fb3c"", ""totaltime"": 2747}",20251115183234,20251115183234,0,
133,0,actor,10001,login,,,"{""sessionid"": ""e81b7718ef26db10be8bd96a7bffd01b"", ""totaltime"": 0}",20251115193342,20251115193342,0,
134,0,actor,10001,Logout,,,"{""sessionid"": ""cc554a3c3fdfe3129ff00e2b2cf83658"", ""totaltime"": 7228}",20251115213410,20251115213410,0,
135,0,actor,10001,login,,,"{""sessionid"": ""dbbd8a7f2737a25d5e694afb17148bef"", ""totaltime"": 0}",20251115235744,20251115235744,0,
136,0,actor,10001,Logout,,,"{""sessionid"": ""168e674a84ee750133f11be6b4fdb317"", ""totaltime"": 2073}",20251116003217,20251116003217,0,
137,0,actor,10001,login,,,"{""sessionid"": ""afb0e90766086d3b6795ea444443b1f1"", ""totaltime"": 0}",20251116015930,20251116015930,0,
138,0,actor,10001,"Started Monitoring Traffic",,,"{""sessionid"": ""afb0e90766086d3b6795ea444443b1f1"", ""totaltime"": 0}",20251116025423,20251116025423,0,
139,0,actor,10001,"Stopped Monitoring Traffic",,,"{""sessionid"": ""afb0e90766086d3b6795ea444443b1f1"", ""totaltime"": 0}",20251116025423,20251116025423,0,
140,0,actor,10001,Logout,,,"{""sessionid"": ""f54003b4f4844a99e44a476e04d4b846"", ""totaltime"": 9475}",20251116043725,20251116043725,0,
141,0,actor,10001,login,,,"{""sessionid"": ""fa8c52614700209c85d2129f392c20df"", ""totaltime"": 0}",20251116101953,20251116101953,0,
142,0,actor,10001,Logout,,,"{""sessionid"": ""fa8c52614700209c85d2129f392c20df"", ""totaltime"": 9}",20251116102002,20251116102002,0,
143,0,actor,10001,login,,,"{""sessionid"": ""f127f7beb9914b4ac0d0309958a247c4"", ""totaltime"": 0}",20251116141124,20251116141124,0,
144,0,actor,10001,Logout,,,"{""sessionid"": ""70494136cc519d758e05af8e047a443d"", ""totaltime"": 2088}",20251116144612,20251116144612,0,
145,0,actor,10001,login,,,"{""sessionid"": ""dda97ee40fce9abd1a38e90fd1fe95f3"", ""totaltime"": 0}",20251117140205,20251117140205,0,
146,0,actor,10001,Logout,,,"{""sessionid"": ""3e3987ca86276f8e013770b87a342e6a"", ""totaltime"": 2848}",20251117144933,20251117144933,0,
147,0,actor,10001,login,,,"{""sessionid"": ""dda97ee40fce9abd1a38e90fd1fe95f3"", ""totaltime"": 0}",20251117151525,20251117151525,0,
148,0,actor,10001,Logout,,,"{""sessionid"": ""b97ab21eb688acc0a86feb82fe938c79"", ""totaltime"": 5969}",20251117165454,20251117165454,0,
149,0,actor,10001,login,,,"{""sessionid"": ""dda97ee40fce9abd1a38e90fd1fe95f3"", ""totaltime"": 0}",20251117182130,20251117182130,0,
150,0,actor,10001,Logout,,,"{""sessionid"": ""5c0ab7702d5a07a576b08d74466305fd"", ""totaltime"": 6452}",20251117200902,20251117200902,0,
151,0,actor,10001,login,,,"{""sessionid"": ""dda97ee40fce9abd1a38e90fd1fe95f3"", ""totaltime"": 0}",20251117213427,20251117213427,0,
152,0,actor,10001,Logout,,,"{""sessionid"": ""fcc2dbae290be65ac7b8ec24ab15555b"", ""totaltime"": 3095}",20251117222602,20251117222602,0,
153,0,actor,10001,login,,,"{""sessionid"": ""dda97ee40fce9abd1a38e90fd1fe95f3"", ""totaltime"": 0}",20251118002108,20251118002108,0,
154,0,actor,10001,Logout,,,"{""sessionid"": ""04ef5eb04deb60c3710eb6b283d29637"", ""totaltime"": 2140}",20251118005648,20251118005648,0,
155,0,actor,10001,login,,,"{""sessionid"": ""dda97ee40fce9abd1a38e90fd1fe95f3"", ""totaltime"": 0}",20251118021836,20251118021836,0,
156,0,actor,10001,Logout,,,"{""sessionid"": ""dda97ee40fce9abd1a38e90fd1fe95f3"", ""totaltime"": 33}",20251118021909,20251118021909,0,
157,0,actor,10001,login,,,"{""sessionid"": ""7187afaa96b50022246fedb9f3d39823"", ""totaltime"": 0}",20251118123807,20251118123807,0,
158,0,actor,10001,Logout,,,"{""sessionid"": ""d6dc1d64c2b25dcd1e6e50ca746a198a"", ""totaltime"": 2440}",20251118131847,20251118131847,0,
159,0,actor,10001,login,,,"{""sessionid"": ""a179b5cd6123f1d2c10b9eb9722ea438"", ""totaltime"": 0}",20251118143112,20251118143112,0,
160,0,actor,10001,Logout,,,"{""sessionid"": ""d6dc1d64c2b25dcd1e6e50ca746a198a"", ""totaltime"": 2579}",20251118151411,20251118151411,0,
161,0,actor,10001,login,,,"{""sessionid"": ""a179b5cd6123f1d2c10b9eb9722ea438"", ""totaltime"": 0}",20251118203534,20251118203534,0,
162,0,actor,10001,login,,,"{""sessionid"": ""a179b5cd6123f1d2c10b9eb9722ea438"", ""totaltime"": 0}",20251118203536,20251118203536,0,
163,0,actor,10001,Logout,,,"{""sessionid"": ""a179b5cd6123f1d2c10b9eb9722ea438"", ""totaltime"": 27}",20251118203603,20251118203603,0,
164,0,actor,10001,login,,,"{""sessionid"": ""a179b5cd6123f1d2c10b9eb9722ea438"", ""totaltime"": 0}",20251118213038,20251118213038,0,
165,0,actor,10001,Logout,,,"{""sessionid"": ""d6dc1d64c2b25dcd1e6e50ca746a198a"", ""totaltime"": 5197}",20251118225715,20251118225715,0,
166,0,actor,10001,login,,,"{""sessionid"": ""a179b5cd6123f1d2c10b9eb9722ea438"", ""totaltime"": 0}",20251118233737,20251118233737,0,
167,0,actor,10001,Logout,,,"{""sessionid"": ""a179b5cd6123f1d2c10b9eb9722ea438"", ""totaltime"": 57}",20251118233834,20251118233834,0,
168,0,actor,10001,login,,,"{""sessionid"": ""a179b5cd6123f1d2c10b9eb9722ea438"", ""totaltime"": 0}",20251119125317,20251119125317,0,
169,0,actor,10001,Logout,,,"{""sessionid"": ""d6dc1d64c2b25dcd1e6e50ca746a198a"", ""totaltime"": 2741}",20251119133858,20251119133858,0,
170,0,actor,10001,login,,,"{""sessionid"": ""a179b5cd6123f1d2c10b9eb9722ea438"", ""totaltime"": 0}",20251119235955,20251119235955,0,
171,0,actor,10001,Logout,,,"{""sessionid"": ""d6dc1d64c2b25dcd1e6e50ca746a198a"", ""totaltime"": 2524}",20251120004159,20251120004159,0,
172,0,actor,10001,login,,,"{""sessionid"": ""a179b5cd6123f1d2c10b9eb9722ea438"", ""totaltime"": 0}",20251120004350,20251120004350,0,
