"referer_id` bigint NOT NULL auto_increment","content_id` bigint NOT NULL","actor_id` bigint NOT NULL","referer_url` varchar(2000)","referer_domain` varchar(255)","referer_path` varchar(2000)","referer_content_id` bigint","date_ymd` int NOT NULL","visits` int NOT NULL DEFAULT 1","depth` int NOT NULL DEFAULT 0","metadata_json` json"
23,0,0,,,,,20260113,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
24,0,0,,,,,20260113,2,1,"{""legacy_pageurl"": ""http://lupopedia.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
25,0,0,,,,,20260113,2,1,"{""legacy_pageurl"": ""http://aosystemsgroup.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
26,0,0,,,,,20260114,2,1,"{""legacy_pageurl"": ""http://aosystemsgroup.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
27,0,0,,,,,20260114,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
28,0,0,,,,,20260114,2,1,"{""legacy_pageurl"": ""http://lupopedia.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
29,0,0,,,,,20260115,2,1,"{""legacy_pageurl"": ""http://lupopedia.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
30,0,0,,,,,20260115,4,1,"{""legacy_pageurl"": ""http://google.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 2, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 2}"
31,0,0,,,,,20260115,2,1,"{""legacy_pageurl"": ""http://aosystemsgroup.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
32,0,0,,,,,20260116,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
33,0,0,,,,,20260117,2,1,"{""legacy_pageurl"": ""http://google.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
34,0,0,,,,,20260117,2,1,"{""legacy_pageurl"": ""http://duckduckgo.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
35,0,0,,,,,20260119,2,1,"{""legacy_pageurl"": ""http://panel.galactictec.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
36,0,0,,,,,20260119,2,1,"{""legacy_pageurl"": ""http://aosystemsgroup.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
37,0,0,,,,,20260119,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
38,0,0,,,,,20260119,2,1,"{""legacy_pageurl"": ""http://cn.bing.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
39,0,0,,,,,20260120,2,1,"{""legacy_pageurl"": ""http://nemeritsolutions.com:2083"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
40,0,0,,,,,20260120,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
41,0,0,,,,,20260120,2,1,"{""legacy_pageurl"": ""http://google.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
42,0,0,,,,,20260121,2,1,"{""legacy_pageurl"": ""http://vikram2026.page.gd"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
43,0,0,,,,,20260121,2,1,"{""legacy_pageurl"": ""http://t.co"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
44,0,0,,,,,20260121,2,1,"{""legacy_pageurl"": ""http://ntp.msn.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
45,0,0,,,,,20260122,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
46,0,0,,,,,20260124,2,1,"{""legacy_pageurl"": ""http://aosystemsgroup.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
47,0,0,,,,,20260125,2,1,"{""legacy_pageurl"": ""http://aosystemsgroup.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
48,0,0,,,,,20260126,2,1,"{""legacy_pageurl"": ""http://nl1-cl9-ats1.a2hosting.com:2083"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
49,0,0,,,,,20260127,2,1,"{""legacy_pageurl"": ""http://normi.org"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
50,0,0,,,,,20260127,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
51,0,0,,,,,20260127,2,1,"{""legacy_pageurl"": ""http://github.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
52,0,0,,,,,20260129,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
53,0,0,,,,,20260130,2,1,"{""legacy_pageurl"": ""http://demos6.softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
54,0,0,,,,,20260130,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
55,0,0,,,,,20260202,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
56,0,0,,,,,20260203,2,1,"{""legacy_pageurl"": ""http://google.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
57,0,0,,,,,20260203,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
58,0,0,,,,,20260204,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
59,0,0,,,,,20260204,2,1,"{""legacy_pageurl"": ""http://aosystemsgroup.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
60,0,0,,,,,20260204,1,1,"{""legacy_pageurl"": ""http://lupopedia.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}"
61,0,0,,,,,20260204,1,2,"{""legacy_pageurl"": ""http://lupopedia.com/lh"", ""legacy_parentrec"": 479, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}"
62,0,0,,,,,20260204,2,3,"{""legacy_pageurl"": ""http://lupopedia.com/lh/admin_options.php"", ""legacy_parentrec"": 480, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
63,0,0,,,,,20260204,0,4,"{""legacy_pageurl"": ""http://lupopedia.com/lh/admin_options.php?tab=live"", ""legacy_parentrec"": 481, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}"
64,0,0,,,,,20260204,2,1,"{""legacy_pageurl"": ""http://google.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
65,0,0,,,,,20260205,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
66,0,0,,,,,20260206,2,1,"{""legacy_pageurl"": ""http://google.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
67,0,0,,,,,20260206,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
68,0,0,,,,,20260207,2,1,"{""legacy_pageurl"": ""http://aosystemsgroup.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
69,0,0,,,,,20260209,1,1,"{""legacy_pageurl"": ""http://github.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}"
70,0,0,,,,,20260209,1,2,"{""legacy_pageurl"": ""http://github.com/lupopedia"", ""legacy_parentrec"": 488, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}"
71,0,0,,,,,20260209,2,3,"{""legacy_pageurl"": ""http://github.com/lupopedia/CRAFTY_SYNTAX"", ""legacy_parentrec"": 489, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
72,0,0,,,,,20260209,0,4,"{""legacy_pageurl"": ""http://github.com/lupopedia/CRAFTY_SYNTAX?tab=readme-ov-file"", ""legacy_parentrec"": 490, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}"
73,0,0,,,,,20260209,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
74,0,0,,,,,20260210,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
75,0,0,,,,,20260210,2,1,"{""legacy_pageurl"": ""http://installatron.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
76,0,0,,,,,20260211,2,1,"{""legacy_pageurl"": ""http://m.facebook.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
77,0,0,,,,,20260212,2,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 1, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 1}"
128,0,0,http://lupopedia.com,lupopedia.com,,0,202511,144,1,"{""legacy_pageurl"": ""http://lupopedia.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 105, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 39}"
129,0,0,http://lupopedia.com?fbclid=IwY2xjawOTFAxleHRuA2FlbQIxMABicmlkETF2cGQwVlVodzhkY1htVW9Tc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHk1oV3KbhxXd863pJOW7HBqJ_P2GVHcUN5jpIO9YOKM_kzSv0ae2t8Vf5msq_aem_5-XBh6g_7QBnmlCabAwNpg,lupopedia.com?fbclid=IwY2xjawOTFAxleHRuA2FlbQIxMABicmlkETF2cGQwVlVodzhkY1htVW9Tc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHk1oV3KbhxXd863pJOW7HBqJ_P2GVHcUN5jpIO9YOKM_kzSv0ae2t8Vf5msq_aem_5-XBh6g_7QBnmlCabAwNpg,,0,202511,0,2,"{""legacy_pageurl"": ""http://lupopedia.com?fbclid=IwY2xjawOTFAxleHRuA2FlbQIxMABicmlkETF2cGQwVlVodzhkY1htVW9Tc3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHk1oV3KbhxXd863pJOW7HBqJ_P2GVHcUN5jpIO9YOKM_kzSv0ae2t8Vf5msq_aem_5-XBh6g_7QBnmlCabAwNpg"", ""legacy_parentrec"": 1, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}"
130,0,0,http://lupopedia.com/lh/admin_options.php,lupopedia.com,/lh/admin_options.php,0,202511,20,3,"{""legacy_pageurl"": ""http://lupopedia.com/lh/admin_options.php"", ""legacy_parentrec"": 2, ""legacy_department"": 1, ""legacy_levelvisits"": 10, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 10}"
131,0,0,http://lupopedia.com/lh/admin_options.php?sound=off&tab=0,lupopedia.com,/lh/admin_options.php?sound=off&tab=0,0,202511,0,4,"{""legacy_pageurl"": ""http://lupopedia.com/lh/admin_options.php?sound=off&tab=0"", ""legacy_parentrec"": 3, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}"
132,0,0,http://lupopedia.com/lh/admin_options.php?tab=live,lupopedia.com,/lh/admin_options.php?tab=live,0,202511,0,4,"{""legacy_pageurl"": ""http://lupopedia.com/lh/admin_options.php?tab=live"", ""legacy_parentrec"": 3, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}"
133,0,0,http://lupopedia.com/lh/admin_options.php?tab=live,lupopedia.com,/lh/admin_options.php?tab=live,0,202511,0,4,"{""legacy_pageurl"": ""http://lupopedia.com/lh/admin_options.php?tab=live"", ""legacy_parentrec"": 3, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}"
134,0,0,http://lupopedia.com/lh/admin_options.php?tab=live,lupopedia.com,/lh/admin_options.php?tab=live,0,202511,0,4,"{""legacy_pageurl"": ""http://lupopedia.com/lh/admin_options.php?tab=live"", ""legacy_parentrec"": 3, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}"
135,0,0,http://lupopedia.com/what_was_crafty_syntax.php,lupopedia.com,/what_was_crafty_syntax.php,0,202511,14,2,"{""legacy_pageurl"": ""http://lupopedia.com/what_was_crafty_syntax.php"", ""legacy_parentrec"": 1, ""legacy_department"": 1, ""legacy_levelvisits"": 7, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 7}"
136,0,0,http://google.com,google.com,,0,202511,26,1,"{""legacy_pageurl"": ""http://google.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 13, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 13}"
137,0,0,http://lupopedia.com/index.php,lupopedia.com,/index.php,0,202511,26,2,"{""legacy_pageurl"": ""http://lupopedia.com/index.php"", ""legacy_parentrec"": 1, ""legacy_department"": 1, ""legacy_levelvisits"": 13, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 13}"
138,0,0,http://lupopedia.com/lh/scratch.php,lupopedia.com,/lh/scratch.php,0,202511,4,3,"{""legacy_pageurl"": ""http://lupopedia.com/lh/scratch.php"", ""legacy_parentrec"": 2, ""legacy_department"": 1, ""legacy_levelvisits"": 2, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 2}"
139,0,0,http://lupopedia.com/lh/scratch.php?help=,lupopedia.com,/lh/scratch.php?help=,0,202511,0,4,"{""legacy_pageurl"": ""http://lupopedia.com/lh/scratch.php?help="", ""legacy_parentrec"": 11, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}"
140,0,0,http://lupopedia.com/lh/scratch.php?help=,lupopedia.com,/lh/scratch.php?help=,0,202511,0,4,"{""legacy_pageurl"": ""http://lupopedia.com/lh/scratch.php?help="", ""legacy_parentrec"": 11, ""legacy_department"": 1, ""legacy_levelvisits"": 0, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}"
141,0,0,http://lupopedia.com/salessyntax_docs,lupopedia.com,/salessyntax_docs,0,202511,2,2,"{""legacy_pageurl"": ""http://lupopedia.com/salessyntax_docs"", ""legacy_parentrec"": 1, ""legacy_department"": 1, ""legacy_levelvisits"": 2, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}"
142,0,0,http://lupopedia.com/salessyntax_docs/howto.php,lupopedia.com,/salessyntax_docs/howto.php,0,202511,4,3,"{""legacy_pageurl"": ""http://lupopedia.com/salessyntax_docs/howto.php"", ""legacy_parentrec"": 14, ""legacy_department"": 1, ""legacy_levelvisits"": 2, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 2}"
143,0,0,http://softaculous.com,softaculous.com,,0,202511,34,1,"{""legacy_pageurl"": ""http://softaculous.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 17, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 17}"
144,0,0,http://t.co,t.co,,0,202511,3,1,"{""legacy_pageurl"": ""http://t.co"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 3, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 0}"
145,0,0,http://t.co/0HDWC8x5v3,t.co,/0HDWC8x5v3,0,202511,6,2,"{""legacy_pageurl"": ""http://t.co/0HDWC8x5v3"", ""legacy_parentrec"": 17, ""legacy_department"": 1, ""legacy_levelvisits"": 3, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 3}"
146,0,0,http://softaculous.deskuss.com,softaculous.deskuss.com,,0,202511,4,1,"{""legacy_pageurl"": ""http://softaculous.deskuss.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 2, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 2}"
147,0,0,http://m.facebook.com,m.facebook.com,,0,202511,44,1,"{""legacy_pageurl"": ""http://m.facebook.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 22, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 22}"
148,0,0,http://facebook.com,facebook.com,,0,202511,48,1,"{""legacy_pageurl"": ""http://facebook.com"", ""legacy_parentrec"": 0, ""legacy_department"": 1, ""legacy_levelvisits"": 24, ""legacy_livehelp_id"": 1, ""legacy_directvisits"": 24}"
