"analytics_visits_daily_id` bigint NOT NULL","content_id` bigint NOT NULL DEFAULT 0","url_path` varchar(500) NOT NULL DEFAULT ''","department_id` bigint NOT NULL DEFAULT 1","date_ymd` bigint NOT NULL","visits` int NOT NULL DEFAULT 0","unique_sessions` int NOT NULL DEFAULT 0","unique_actors` int NOT NULL DEFAULT 0","direct_visits` int NOT NULL DEFAULT 0","internal_visits` int NOT NULL DEFAULT 0","entry_count` int NOT NULL DEFAULT 0","exit_count` int NOT NULL DEFAULT 0","total_seconds` int NOT NULL DEFAULT 0","avg_seconds` int NOT NULL DEFAULT 0","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL"
10,1,http://lupopedia.com/support.php?v=3.7.5&d=&h=www.abol.us,1,20260113,28,0,0,10,0,0,0,0,0,20260220133938,20260220133938
11,1,http://lupopedia.com/officehours.php,1,20260114,71,0,0,27,0,0,0,0,0,20260220133938,20260220133938
12,1,http://lupopedia.com/temporary_index.html#start-here,1,20260115,106,0,0,41,0,0,0,0,0,20260220133938,20260220133938
13,1,http://lupopedia.com/craftysyntax,1,20260116,11,0,0,4,0,0,0,0,0,20260220133938,20260220133938
14,1,http://lupopedia.com/craftysyntax,1,20260117,20,0,0,8,0,0,0,0,0,20260220133938,20260220133938
15,1,http://lupopedia.com/craftysyntax,1,20260119,48,0,0,19,0,0,0,0,0,20260220133938,20260220133938
16,1,http://lupopedia.com/craftysyntax,1,20260120,19,0,0,8,0,0,0,0,0,20260220133938,20260220133938
17,1,http://lupopedia.com/messages.php,1,20260121,30,0,0,11,0,0,0,0,0,20260220133938,20260220133938
18,1,http://lupopedia.com/support.php,1,20260122,46,0,0,16,0,0,0,0,0,20260220133938,20260220133938
19,1,http://lupopedia.com/craftysyntax,1,20260124,17,0,0,7,0,0,0,0,0,20260220133938,20260220133938
20,1,http://lupopedia.com/support.php,1,20260125,10,0,0,4,0,0,0,0,0,20260220133938,20260220133938
21,1,http://lupopedia.com/craftysyntax/#news,1,20260126,27,0,0,10,0,0,0,0,0,20260220133938,20260220133938
22,1,http://mail.lupopedia.com,1,20260127,27,0,0,10,0,0,0,0,0,20260220133938,20260220133938
23,1,http://lupopedia.com,1,20260128,4,0,0,2,0,0,0,0,0,20260220133938,20260220133938
24,1,http://lupopedia.com/support.php,1,20260129,23,0,0,8,0,0,0,0,0,20260220133938,20260220133938
25,1,http://lupopedia.com/support.php,1,20260130,32,0,0,12,0,0,0,0,0,20260220133938,20260220133938
26,1,http://lupopedia.com/craftysyntax,1,20260131,15,0,0,6,0,0,0,0,0,20260220133938,20260220133938
27,1,http://lupopedia.com/support.php,1,20260202,45,0,0,17,0,0,0,0,0,20260220133938,20260220133938
28,1,http://lupopedia.com/support.php,1,20260203,37,0,0,14,0,0,0,0,0,20260220133938,20260220133938
29,1,http://lupopedia.com/craftysyntax,1,20260204,25,0,0,10,0,0,0,0,0,20260220133938,20260220133938
30,1,http://lupopedia.com/who_is_eric.php,1,20260205,35,0,0,12,0,0,0,0,0,20260220133938,20260220133938
31,1,http://lupopedia.com/craftysyntax,1,20260206,34,0,0,12,0,0,0,0,0,20260220133938,20260220133938
32,1,http://lupopedia.com/wolfie_ladder,1,20260207,64,0,0,22,0,0,0,0,0,20260220133938,20260220133938
33,1,http://lupopedia.com/support.php,1,20260208,21,0,0,8,0,0,0,0,0,20260220133938,20260220133938
34,1,http://lupopedia.com/messages.php,1,20260209,14,0,0,5,0,0,0,0,0,20260220133938,20260220133938
35,1,http://lupopedia.com/support.php,1,20260210,138,0,0,47,0,0,0,0,0,20260220133938,20260220133938
36,1,http://lupopedia.com/wolfie_ladder?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQKNjYyODU2ODM3OQABHrrjWiqkfZhk8neZUtJr9_4sPheyi-ntEKJZm3CAYn_yTEelGJ2gdXDIZmkN_aem_lPffrVtDcK4crkD08FHS6g,1,20260211,48,0,0,17,0,0,0,0,0,20260220133938,20260220133938
37,1,http://lupopedia.com/planfor_next_version_craftysyntax.php,1,20260212,32,0,0,12,0,0,0,0,0,20260220133938,20260220133938
