"edge_id` bigint NOT NULL","left_object_type` varchar(50) NOT NULL","left_object_id` bigint NOT NULL","right_object_type` varchar(50) NOT NULL","right_object_id` bigint NOT NULL","edge_type` varchar(100) NOT NULL","channel_id` bigint","channel_key` varchar(64)","weight_score` int NOT NULL DEFAULT 0","sort_num` int NOT NULL DEFAULT 0","actor_id` bigint","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint NOT NULL DEFAULT 0","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL DEFAULT 0","semantic_weight` decimal(5,2) DEFAULT 0.00","relationship_type` varchar(64) DEFAULT 'semantic'","bidirectional` tinyint NOT NULL DEFAULT 0","context_scope` varchar(100)"
910040,channel,0,content,5020,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910041,channel,51,content,5020,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910042,channel,0,content,5021,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910043,channel,51,content,5021,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910044,channel,0,content,5022,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910045,channel,51,content,5022,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910046,channel,0,content,5023,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910047,channel,51,content,5023,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910048,channel,0,content,5024,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910049,channel,51,content,5024,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910050,channel,0,content,5025,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910051,channel,51,content,5025,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910052,channel,0,content,5026,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910053,channel,51,content,5026,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910054,channel,0,content,5027,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910055,channel,51,content,5027,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910056,channel,0,content,5028,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910057,channel,51,content,5028,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910058,channel,0,content,5029,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910059,channel,51,content,5029,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910060,channel,0,content,5030,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910061,channel,51,content,5030,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910062,channel,42,content,5030,HAS_CONTENT,42,lupopedia-development,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910063,channel,0,content,5031,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910064,channel,51,content,5031,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910065,channel,42,content,5032,HAS_CONTENT,42,lupopedia-development,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910066,channel,0,content,5032,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910067,channel,51,content,5032,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910068,channel,42,content,5033,HAS_CONTENT,42,lupopedia-development,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910069,channel,0,content,5033,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910070,channel,51,content,5033,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910071,channel,0,content,5034,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910072,channel,51,content,5034,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910073,channel,0,content,5035,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910074,channel,51,content,5035,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910075,channel,42,content,5035,HAS_CONTENT,42,lupopedia-development,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910076,channel,0,content,5036,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910077,channel,51,content,5036,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910078,channel,0,content,5037,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910079,channel,51,content,5037,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910080,channel,666,content,5037,HAS_CONTENT,666,anubis-quarantine,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910081,channel,51,content,5038,HAS_CONTENT,51,51,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
910082,channel,0,content,5038,HAS_CONTENT,0,system/kernel,0,0,,0,0,20260217230000,20260217230000,0.00,semantic,0,
