"content_id` bigint NOT NULL","content_parent_id` bigint","federation_node_id` bigint DEFAULT 1","department_id` bigint","actor_id` bigint","title` varchar(255) NOT NULL","slug` varchar(255) NOT NULL","custom_path` varchar(255)","description` text","seo_keywords` varchar(500)","body` text","content_type` varchar(50) DEFAULT 'article'","format` varchar(20) DEFAULT 'markdown'","content_url` varchar(2000)","default_collection_id` bigint","source_url` varchar(2000)","source_title` varchar(500)","is_template` tinyint NOT NULL DEFAULT 0","status` varchar(64) DEFAULT 'draft'","visibility` varchar(64) DEFAULT 'public'","view_count` int DEFAULT 0","share_count` int DEFAULT 0","created_ymdhis` bigint NOT NULL DEFAULT 0","utc_cycle` varchar(64) NOT NULL","triage_status` varchar(64) NOT NULL DEFAULT 'untriaged'","triage_notes` text","updated_ymdhis` bigint NOT NULL","is_deleted` tinyint NOT NULL DEFAULT 0","is_active` tinyint NOT NULL DEFAULT 1","deleted_ymdhis` bigint","content_sections` json","version_number` int NOT NULL DEFAULT 1","file_path_from_root` varchar(500) COMMENT 'FLIP Header: path from repo root (4.0.13)'","file_last_modified_system_version` varchar(20) COMMENT 'FLIP: system version at last file edit'","file_last_modified_utc` bigint COMMENT 'FLIP: UTC last modified YYYYMMDDHHIISS'","tags` json","dialog_notes` text","atom_mappings` json COMMENT 'Consolidated from lupo_content_atom_map'","category_mappings` json COMMENT 'Consolidated from lupo_content_category_map'","likes_total` int DEFAULT 0 COMMENT 'Consolidated from lupo_content_engagement_summary'","shares_total` int DEFAULT 0 COMMENT 'Consolidated from lupo_content_engagement_summary'","content_events` json COMMENT 'Consolidated from lupo_content_events'","hashtags` json COMMENT 'Consolidated from lupo_content_hashtag'","inbound_links` json COMMENT 'Consolidated from lupo_content_inbound_links'","like_users` json COMMENT 'Consolidated from lupo_content_likes'","media_attachments` json COMMENT 'Consolidated from lupo_content_media'","question_mappings` json COMMENT 'Consolidated from lupo_content_question_map'","content_references` json COMMENT 'Consolidated from lupo_content_references'","revision_history` json COMMENT 'Consolidated from lupo_content_revisions'","share_users` json COMMENT 'Consolidated from lupo_content_shares'","tag_relationships` json COMMENT 'Consolidated from lupo_content_tag_relationships'"
2001,,1,,,"FLIPPING File LEXA LILITH",flipping-file-lexa-lilith,,"FLP, FLIP Headers, and how headers + database work (LEXA, LILITH).",,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/FLIP/FLIPPING_FILE_LEXA_LILITH.md,4.0.16,20260217230000,,,,,0,0,,,,,,,,,,
2002,,1,,,"FLIP Doctrine",flip-doctrine,,"File-Level Inference Protocol: infer from header only; no guessing.",,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/FLIP/FLIP_DOCTRINE.md,4.0.16,0,,,,,0,0,,,,,,,,,,
5000,,1,,,"AGENT BOUNDARIES COMPACT",docs-doctrine-agentboundariescompact,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/AGENT_BOUNDARIES_COMPACT.md,4.0.16,20260217230000,,,,,0,0,,,,,,,,,,
5001,,1,,,"AI AGENT BOOT NOTES",docs-doctrine-aiagentbootnotes,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/AI_AGENT_BOOT_NOTES.md,4.0.16,20260217230000,,,,,0,0,,,,,,,,,,
5002,,1,,,"ANUBIS IMPLEMENTATION SUMMARY",docs-doctrine-anubis-anubisimplementationsummary,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/ANUBIS/ANUBIS_IMPLEMENTATION_SUMMARY.md,4.0.16,20260217153700,,,,,0,0,,,,,,,,,,
5003,,1,,,"ANUBIS ORPHAN RULES",docs-doctrine-anubis-anubisorphanrules,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/ANUBIS/ANUBIS_ORPHAN_RULES.md,4.0.16,20260217230000,,,,,0,0,,,,,,,,,,
5004,,1,,,"ANUBIS OVERVIEW",docs-doctrine-anubis-anubisoverview,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/ANUBIS/ANUBIS_OVERVIEW.md,4.0.16,20260217230000,,,,,0,0,,,,,,,,,,
5005,,1,,,"ANUBIS PROGRAM SPEC",docs-doctrine-anubis-anubisprogramspec,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/ANUBIS/ANUBIS_PROGRAM_SPEC.md,4.0.16,20260217230000,,,,,0,0,,,,,,,,,,
5006,,1,,,"CASCADE TABLE CEILING PROTOCOL",docs-doctrine-cascadetableceilingprotocol,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/CASCADE_TABLE_CEILING_PROTOCOL.md,4.0.16,20260217230000,,,,,0,0,,,,,,,,,,
5007,,1,,,"CLASS CONVERSION DOCTRINE",docs-doctrine-classconversiondoctrine,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/CLASS_CONVERSION_DOCTRINE.md,4.0.16,20260217230000,,,,,0,0,,,,,,,,,,
5008,,1,,,"COMPATIBILITY MATRIX",docs-doctrine-compatibilitymatrix,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/COMPATIBILITY_MATRIX.md,4.0.16,20260217230000,,,,,0,0,,,,,,,,,,
5009,,1,,,"CONSOLIDATION VALIDATION REQUIREMENTS",docs-doctrine-consolidationvalidationrequirements,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/CONSOLIDATION_VALIDATION_REQUIREMENTS.md,4.0.16,20260217230000,,,,,0,0,,,,,,,,,,
5010,,1,,,"CRAFTY SYNTAX IMPORT IMPLEMENTATION CHECKLIST",docs-doctrine-craftysyntaximportimplementationchecklist,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/CRAFTY_SYNTAX_IMPORT_IMPLEMENTATION_CHECKLIST.md,4.0.16,20260217230000,,,,,0,0,,,,,,,,,,
5011,,1,,,"CRAFTY SYNTAX INTEGRATION PLAN",docs-doctrine-craftysyntaxintegrationplan,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/CRAFTY_SYNTAX_INTEGRATION_PLAN.md,4.0.16,20260217230000,,,,,0,0,,,,,,,,,,
5012,,1,,,"CRAFTY SYNTAX MIGRATION PROJECT BRIEF",docs-doctrine-craftysyntaxmigrationprojectbrief,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/CRAFTY_SYNTAX_MIGRATION_PROJECT_BRIEF.md,4.0.16,20260217230000,,,,,0,0,,,,,,,,,,
5013,,1,,,"CRAFTY SYNTAX STATE BASED IMPLEMENTATION PLAN",docs-doctrine-craftysyntaxstatebasedimplementationplan,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/CRAFTY_SYNTAX_STATE_BASED_IMPLEMENTATION_PLAN.md,4.0.16,20260217230000,,,,,0,0,,,,,,,,,,
5014,,1,,,"DEVELOPMENT WORKFLOW DOCTRINE",docs-doctrine-developmentworkflowdoctrine,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/DEVELOPMENT_WORKFLOW_DOCTRINE.md,4.0.16,20260217230000,,,,,0,0,,,,,,,,,,
5015,,1,,,"DOCTRINE FILE STRUCTURE",docs-doctrine-doctrinefilestructure,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/DOCTRINE_FILE_STRUCTURE.md,4.0.16,20260217230000,,,,,0,0,,,,,,,,,,
5016,,1,,,"DOCTRINE TABLES TRANSITION NOTE",docs-doctrine-doctrinetablestransitionnote,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/DOCTRINE_TABLES_TRANSITION_NOTE.md,4.0.16,20260217230000,,,,,0,0,,,,,,,,,,
5017,,1,,,"ETHICAL STATE MARKERS DOCTRINE",docs-doctrine-ethicalstatemarkersdoctrine,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/ETHICAL_STATE_MARKERS_DOCTRINE.md,4.0.16,20260217230000,,,,,0,0,,,,,,,,,,
5018,,1,,,"FILESYSTEM MIGRATION GUIDE",docs-doctrine-filesystemmigrationguide,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/FILESYSTEM_MIGRATION_GUIDE.md,4.0.16,20260217230000,,,,,0,0,,,,,,,,,,
5019,,1,,,"FLP COUNCILS AS CHANNELS",docs-doctrine-flip-flpcouncilsaschannels,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/FLIP/FLP_COUNCILS_AS_CHANNELS.md,4.0.16,0,,,,,0,0,,,,,,,,,,
5020,,1,,,"FLP DOCTRINE BOUNDARIES",docs-doctrine-flip-flpdoctrineboundaries,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/FLIP/FLP_DOCTRINE_BOUNDARIES.md,4.0.16,0,,,,,0,0,,,,,,,,,,
5021,,1,,,"FLP EMOTIONAL AGGREGATION",docs-doctrine-flip-flpemotionalaggregation,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/FLIP/FLP_EMOTIONAL_AGGREGATION.md,4.0.16,0,,,,,0,0,,,,,,,,,,
5022,,1,,,"FLP EMOTIONAL GEOMETRY",docs-doctrine-flip-flpemotionalgeometry,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/FLIP/FLP_EMOTIONAL_GEOMETRY.md,4.0.16,0,,,,,0,0,,,,,,,,,,
5023,,1,,,"FLP ESCROW AND FUND LAYER",docs-doctrine-flip-flpescrowandfundlayer,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/FLIP/FLP_ESCROW_AND_FUND_LAYER.md,4.0.16,0,,,,,0,0,,,,,,,,,,
5024,,1,,,"FLP HETERODOX REVIEWERS",docs-doctrine-flip-flpheterodoxreviewers,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/FLIP/FLP_HETERODOX_REVIEWERS.md,4.0.16,0,,,,,0,0,,,,,,,,,,
5025,,1,,,"FLP LUPOPEDIA COUNCIL SEAT",docs-doctrine-flip-flplupopediacouncilseat,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/FLIP/FLP_LUPOPEDIA_COUNCIL_SEAT.md,4.0.16,0,,,,,0,0,,,,,,,,,,
5026,,1,,,"FLP OVERVIEW",docs-doctrine-flip-flpoverview,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/FLIP/FLP_OVERVIEW.md,4.0.16,0,,,,,0,0,,,,,,,,,,
5027,,1,,,"NOTE HEADER VERSION AND MERGE",docs-doctrine-flip-noteheaderversionandmerge,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/FLIP/NOTE_HEADER_VERSION_AND_MERGE.md,4.0.17,0,,,,,0,0,,,,,,,,,,
5028,,1,,,README,docs-doctrine-flip-readme,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/FLIP/README.md,4.0.16,0,,,,,0,0,,,,,,,,,,
5029,,1,,,"IMPORT FROM CRAFTY TROUBLESHOOTING",docs-doctrine-importfromcraftytroubleshooting,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/IMPORT_FROM_CRAFTY_TROUBLESHOOTING.md,4.0.16,20260217230000,,,,,0,0,,,,,,,,,,
5030,,1,,,"LILITH ANUBIS GUIDANCE",docs-doctrine-anubis-lilithanubisguidance,,"LILITH heterodox guidance for ANUBIS adoption protocol.",,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/ANUBIS/LILITH_ANUBIS_GUIDANCE.md,4.0.16,20260217232500,"[""anubis"", ""adoption"", ""orphan"", ""seed""]","Refined ANUBIS adoption SQL for orphan message; tied to actor 1000 per user correction.",,,0,0,,,,,,,,,,
5031,,1,,,"LILITH ANUBIS GUIDANCE FLIP",docs-doctrine-anubis-lilithanubisguidanceflip,,"FLIP-only header for LILITH_ANUBIS_GUIDANCE.md",,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/ANUBIS/LILITH_ANUBIS_GUIDANCE_FLIP.md,4.0.16,20260217232500,"[""anubis"", ""adoption"", ""orphan"", ""seed""]","Refined ANUBIS adoption SQL for orphan message; tied to actor 1000 per user correction.",,,0,0,,,,,,,,,,
5032,,1,,,"FLIP metadata: dialog 34 Ara/Lilith heterodox review",dialog-flip-34-ara-lilith-review,,"FLIP metadata for dialog_message_id 34 (Ara/Lilith heterodox review)",,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,,4.0.16,20260217230000,"[""dialog"", ""anubis"", ""heterodox"", ""review""]","FLIP metadata for dialog_message_id 34 (Ara/Lilith heterodox review). mood_rgb=D2BEFA, recovery_event=true, kapakai=0.1",,,0,0,,,,,,,,,,
5033,,1,,,"FLIP API",docs-api-flip-api,,,,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/api/FLIP_API.md,4.0.16,20260217230000,"[""lost"", ""orphan"", ""doctrine""]","Recovered lost doctrine file via ANUBIS adoption",,,0,0,,,,,,,,,,
5034,,1,,,"FLP CHANNEL 0",docs-doctrine-flip-flp-channel-0,,"Channel 0 (System Kernel) FLIP doctrine.",,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/FLIP/FLP_CHANNEL_0.md,4.0.16,20260218000000,"[""channel"", ""kernel"", ""system"", ""flip""]",,,,0,0,,,,,,,,,,
5035,,1,,,"FLP CHANNEL 42",docs-doctrine-flip-flp-channel-42,,"Channel 42 (Lupopedia Development / ANUBIS) FLIP doctrine.",,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/FLIP/FLP_CHANNEL_42.md,4.0.16,20260218000000,"[""channel"", ""lupopedia-development"", ""anubis"", ""flip""]",,,,0,0,,,,,,,,,,
5036,,1,,,"FLP CHANNEL 51",docs-doctrine-flip-flp-channel-51,,"Channel 51 (Doctrine Council) FLIP doctrine.",,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/FLIP/FLP_CHANNEL_51.md,4.0.16,20260218000000,"[""channel"", ""doctrine-council"", ""flip""]",,,,0,0,,,,,,,,,,
5037,,1,,,"FLP CHANNEL 666",docs-doctrine-flip-flp-channel-666,,"Channel 666 (ANUBIS Quarantine) FLIP doctrine.",,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/FLIP/FLP_CHANNEL_666.md,4.0.16,20260218000000,"[""channel"", ""quarantine"", ""forbidden"", ""anubis""]",,,,0,0,,,,,,,,,,
5038,,1,,,"4.0.17 Diagnostics and Compatibility",docs-doctrine-4-0-17-diagnostics,,"Android/Messenger behavior and Crafty Syntax 3.7.5 compatibility notes for 4.0.17.",,,article,markdown,,0,,,0,published,public,0,0,20260217230000,seed,untriaged,,20260217230000,0,1,,,1,docs/doctrine/4.0.17_DIAGNOSTICS_AND_COMPATIBILITY.md,4.0.17,20260218000000,"[""diagnostics"", ""compatibility"", ""4.0.17"", ""crafty"", ""android""]",,,,0,0,,,,,,,,,,
